GCA_035026085.1	WHRI 7072
GCA_035026105.1	WHRI 7074
GCA_035026125.1	WHRI 7273
GCA_035026145.1	WHRI 7071
GCA_035026165.1	WHRI 7230
GCA_035026185.1	WHRI 6180
GCA_035026205.1	WHRI 7779
GCA_035026225.1	WHRI 7234
GCA_035026245.1	WHRI 7240
GCA_035026265.1	WHRI 7260
GCA_035026285.1	WHRI 7262
GCA_035026305.1	WHRI 7275
GCA_035026335.1	WHRI 8022C
GCA_035026355.1	WHRI 7797
GCA_035026385.1	WHRI 7277
GCA_035026405.1	WHRI 8820
GCA_035026425.1	WHRI 7279
GCA_035026445.1	WHRI 7281
GCA_035026465.1	WHRI 8650
GCA_035026485.1	WHRI 6369
GCA_035026505.1	WHRI 7943
GCA_035026525.1	WHRI 8020C
GCA_035026545.1	WHRI 7944
GCA_035026565.1	WHRI 6379 NCPPB 45
GCA_035026605.1	WHRI 6182
GCA_035026625.1	WHRI 6087
GCA_035026645.1	WHRI 6368
GCA_035026665.1	WHRI 6366
GCA_035026685.1	WHRI 6412
GCA_035026705.1	WHRI 6367
GCA_035026725.1	WHRI 6187
GCA_035026745.1	WHRI 6380 NCPPB 404
GCA_035026765.1	WHRI 8789
GCA_035026785.1	WHRI 6382 NCPPB 1711
GCA_035026805.1	WHRI 6413
GCA_035026825.1	WHRI 8788
GCA_035026845.1	WHRI 6381 NCPPB 529
GCA_035026865.1	WHRI 6383 NCPPB 2857
GCA_035026885.1	WHRI 8794
GCA_035026905.1	WHRI 6183
GCA_035026925.1	WHRI 8733
GCA_035026945.1	WHRI 8662
GCA_035026965.1	WHRI 6186
GCA_035026985.1	WHRI 6185
GCA_035027005.1	WHRI 8402
GCA_035027025.1	WHRI 8653
GCA_035027045.1	WHRI 8544
GCA_035027065.1	WHRI 8879
GCA_035027085.1	WHRI 7787
GCA_035027105.1	WHRI 10034B
GCA_035027125.1	WHRI 8746
GCA_035027145.1	WHRI 8737
GCA_035027155.1	WHRI 8414A
GCA_035027185.1	WHRI 10035A
GCA_035027205.1	WHRI 8596
GCA_035027225.1	WHRI 8416A
GCA_035027245.1	WHRI 8795
GCA_035027265.1	WHRI 10040
GCA_035027285.1	WHRI 8420A
GCA_035027305.1	WHRI 10018B
GCA_035027325.1	WHRI 8668
GCA_035027345.1	WHRI 10023A
GCA_035027365.1	WHRI 10020A
GCA_035027385.1	WHRI 8730
GCA_035027405.1	WHRI 8618
GCA_035027425.1	WHRI 8423A
GCA_035027445.1	WHRI 8800
GCA_035027465.1	WHRI 8622
GCA_035027485.1	WHRI 8758
GCA_035027505.1	WHRI 8688
GCA_035027525.1	WHRI 8856
GCA_035027545.1	WHRI 8403
GCA_035027565.3	WHRI 8497
GCA_035027585.1	WHRI 10024A
GCA_035027605.3	WHRI 10018A
GCA_035027625.1	WHRI 10019C
GCA_035027645.1	WHRI 8709
GCA_035058325.1	WHRI 10021A
GCA_035058335.1	WHRI 8500
GCA_035058355.1	WHRI 8401
GCA_035058365.1	WHRI 8405
GCA_035058525.1	WHRI 8409
GCA_035058545.1	WHRI 8857
